"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2020/04/01","北海道",5304413,717047,13.5,"2019/01/01","2020/04/01"
"2020/04/01","青森県",1292709,182353,14.1,"2019/01/01","2020/04/01"
"2020/04/01","岩手県",1250142,178437,14.3,"2019/01/01","2020/04/01"
"2020/04/01","宮城県",2303098,353186,15.3,"2019/01/01","2020/04/01"
"2020/04/01","秋田県",1000223,131903,13.2,"2019/01/01","2020/04/01"
"2020/04/01","山形県",1095383,129803,11.9,"2019/01/01","2020/04/01"
"2020/04/01","福島県",1901053,263201,13.8,"2019/01/01","2020/04/01"
"2020/04/01","茨城県",2936184,454737,15.5,"2019/01/01","2020/04/01"
"2020/04/01","栃木県",1976121,296585,15.0,"2019/01/01","2020/04/01"
"2020/04/01","群馬県",1981202,256912,13.0,"2019/01/01","2020/04/01"
"2020/04/01","埼玉県",7377288,1130192,15.3,"2019/01/01","2020/04/01"
"2020/04/01","千葉県",6311190,1075843,17.0,"2019/01/01","2020/04/01"
"2020/04/01","東京都",13740732,2853102,20.8,"2019/01/01","2020/04/01"
"2020/04/01","神奈川県",9189521,1786622,19.4,"2019/01/01","2020/04/01"
"2020/04/01","新潟県",2259309,257641,11.4,"2019/01/01","2020/04/01"
"2020/04/01","富山県",1063293,143375,13.5,"2019/01/01","2020/04/01"
"2020/04/01","石川県",1145948,143797,12.5,"2019/01/01","2020/04/01"
"2020/04/01","福井県",786503,96057,12.2,"2019/01/01","2020/04/01"
"2020/04/01","山梨県",832769,117519,14.1,"2019/01/01","2020/04/01"
"2020/04/01","長野県",2101891,272987,13.0,"2019/01/01","2020/04/01"
"2020/04/01","岐阜県",2044114,245689,12.0,"2019/01/01","2020/04/01"
"2020/04/01","静岡県",3726537,549483,14.7,"2019/01/01","2020/04/01"
"2020/04/01","愛知県",7565309,1042557,13.8,"2019/01/01","2020/04/01"
"2020/04/01","三重県",1824637,246472,13.5,"2019/01/01","2020/04/01"
"2020/04/01","滋賀県",1420080,228265,16.1,"2019/01/01","2020/04/01"
"2020/04/01","京都府",2555068,403340,15.8,"2019/01/01","2020/04/01"
"2020/04/01","大阪府",8848998,1556909,17.6,"2019/01/01","2020/04/01"
"2020/04/01","兵庫県",5570618,1040796,18.7,"2019/01/01","2020/04/01"
"2020/04/01","奈良県",1362781,254406,18.7,"2019/01/01","2020/04/01"
"2020/04/01","和歌山県",964598,126158,13.1,"2019/01/01","2020/04/01"
"2020/04/01","鳥取県",566052,77104,13.6,"2019/01/01","2020/04/01"
"2020/04/01","島根県",686126,99511,14.5,"2019/01/01","2020/04/01"
"2020/04/01","岡山県",1911722,248721,13.0,"2019/01/01","2020/04/01"
"2020/04/01","広島県",2838632,421537,14.9,"2019/01/01","2020/04/01"
"2020/04/01","山口県",1383079,218833,15.8,"2019/01/01","2020/04/01"
"2020/04/01","徳島県",750519,95990,12.8,"2019/01/01","2020/04/01"
"2020/04/01","香川県",987336,128223,13.0,"2019/01/01","2020/04/01"
"2020/04/01","愛媛県",1381761,185842,13.4,"2019/01/01","2020/04/01"
"2020/04/01","高知県",717480,70522,9.8,"2019/01/01","2020/04/01"
"2020/04/01","福岡県",5131305,748219,14.6,"2019/01/01","2020/04/01"
"2020/04/01","佐賀県",828781,118823,14.3,"2019/01/01","2020/04/01"
"2020/04/01","長崎県",1365391,234577,17.2,"2019/01/01","2020/04/01"
"2020/04/01","熊本県",1780079,294391,16.5,"2019/01/01","2020/04/01"
"2020/04/01","大分県",1160218,177571,15.3,"2019/01/01","2020/04/01"
"2020/04/01","宮崎県",1103755,240005,21.7,"2019/01/01","2020/04/01"
"2020/04/01","鹿児島県",1643437,238530,14.5,"2019/01/01","2020/04/01"
"2020/04/01","沖縄県",1476178,198642,13.5,"2019/01/01","2020/04/01"
