"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2019/07/01","北海道",5339539,598470,11.2,"2018/01/01","2019/07/01"
"2019/07/01","青森県",1308707,153120,11.7,"2018/01/01","2019/07/01"
"2019/07/01","岩手県",1264329,151862,12.0,"2018/01/01","2019/07/01"
"2019/07/01","宮城県",2312080,290823,12.6,"2018/01/01","2019/07/01"
"2019/07/01","秋田県",1015057,103757,10.2,"2018/01/01","2019/07/01"
"2019/07/01","山形県",1106984,106532,9.6,"2018/01/01","2019/07/01"
"2019/07/01","福島県",1919680,225041,11.7,"2018/01/01","2019/07/01"
"2019/07/01","茨城県",2951087,386239,13.1,"2018/01/01","2019/07/01"
"2019/07/01","栃木県",1985738,246969,12.4,"2018/01/01","2019/07/01"
"2019/07/01","群馬県",1990584,213950,10.7,"2018/01/01","2019/07/01"
"2019/07/01","埼玉県",7363011,980472,13.3,"2018/01/01","2019/07/01"
"2019/07/01","千葉県",6298992,932194,14.8,"2018/01/01","2019/07/01"
"2019/07/01","東京都",13637346,2474977,18.1,"2018/01/01","2019/07/01"
"2019/07/01","神奈川県",9171274,1570522,17.1,"2018/01/01","2019/07/01"
"2019/07/01","新潟県",2281291,217018,9.5,"2018/01/01","2019/07/01"
"2019/07/01","富山県",1069512,119538,11.2,"2018/01/01","2019/07/01"
"2019/07/01","石川県",1150398,115365,10.0,"2018/01/01","2019/07/01"
"2019/07/01","福井県",790758,70530,8.9,"2018/01/01","2019/07/01"
"2019/07/01","山梨県",838823,91789,10.9,"2018/01/01","2019/07/01"
"2019/07/01","長野県",2114140,230369,10.9,"2018/01/01","2019/07/01"
"2019/07/01","岐阜県",2054349,198983,9.7,"2018/01/01","2019/07/01"
"2019/07/01","静岡県",3743015,463224,12.4,"2018/01/01","2019/07/01"
"2019/07/01","愛知県",7551840,891923,11.8,"2018/01/01","2019/07/01"
"2019/07/01","三重県",1834269,206610,11.3,"2018/01/01","2019/07/01"
"2019/07/01","滋賀県",1419635,193997,13.7,"2018/01/01","2019/07/01"
"2019/07/01","京都府",2563152,342955,13.4,"2018/01/01","2019/07/01"
"2019/07/01","大阪府",8856444,1351883,15.3,"2018/01/01","2019/07/01"
"2019/07/01","兵庫県",5589708,878809,15.7,"2018/01/01","2019/07/01"
"2019/07/01","奈良県",1371700,219575,16.0,"2018/01/01","2019/07/01"
"2019/07/01","和歌山県",975074,101533,10.4,"2018/01/01","2019/07/01"
"2019/07/01","鳥取県",570824,60476,10.6,"2018/01/01","2019/07/01"
"2019/07/01","島根県",691225,82794,12.0,"2018/01/01","2019/07/01"
"2019/07/01","岡山県",1920619,210901,11.0,"2018/01/01","2019/07/01"
"2019/07/01","広島県",2848846,362949,12.7,"2018/01/01","2019/07/01"
"2019/07/01","山口県",1396197,185504,13.3,"2018/01/01","2019/07/01"
"2019/07/01","徳島県",757377,81511,10.8,"2018/01/01","2019/07/01"
"2019/07/01","香川県",993205,107059,10.8,"2018/01/01","2019/07/01"
"2019/07/01","愛媛県",1394339,149586,10.7,"2018/01/01","2019/07/01"
"2019/07/01","高知県",725289,55754,7.7,"2018/01/01","2019/07/01"
"2019/07/01","福岡県",5130773,609414,11.9,"2018/01/01","2019/07/01"
"2019/07/01","佐賀県",833272,94326,11.3,"2018/01/01","2019/07/01"
"2019/07/01","長崎県",1379003,193344,14.0,"2018/01/01","2019/07/01"
"2019/07/01","熊本県",1789184,236877,13.2,"2018/01/01","2019/07/01"
"2019/07/01","大分県",1169158,145736,12.5,"2018/01/01","2019/07/01"
"2019/07/01","宮崎県",1112008,203873,18.3,"2018/01/01","2019/07/01"
"2019/07/01","鹿児島県",1655888,198980,12.0,"2018/01/01","2019/07/01"
"2019/07/01","沖縄県",1471536,164194,11.2,"2018/01/01","2019/07/01"
